Name,Team,AVG,GP,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,SH,SF,TB,OBP,SLG,1B,PA,wOBA,wRC,wRAA,wRC+,wSB,Off,Rep,RAR,WAR
Ian Neal,Legends,0.0,2,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0.333,0.0,0,3,0.2836177037011072,0.13361264714821097,-0.42737281327182136,23.788414268990152,-0.04267589388696655,-0.4700487071587879,0.13249658002735976,-0.3375521271314281,-0.025476289807761496
Samuel Berkley,Cardinals,0.333,3,9,2,3,0,0,0,0,0,4,0,1,0,0,3,0.333,0.333,3,9,0.32424365333326616,0.8226296114874558,-0.8603267697726411,48.82036345530195,0.07197231833910037,-0.7883544514335408,0.3974897400820793,-0.39086471135146145,-0.029499984925705266
Stevie Padilla,Cardinals,0.0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,1,0.0,-0.28264135994554246,-0.46963651341888657,-150.96452102645173,0.0,-0.46963651341888657,0.04416552667578659,-0.42547098674309997,-0.03211184670994849
Louie Opatz,Cardinals,0.25,1,4,1,1,0,0,0,0,0,1,0,0,0,0,1,0.25,0.25,1,4,0.24318273999994963,-0.008431489449723828,-0.7564121033431003,-1.125857665136469,-0.04267589388696655,-0.7990879972300668,0.17666210670314636,-0.6224258905269204,-0.04697675142999111
Devin Dhaliwal,Mariners,0.25,0,4,0,1,0,0,0,0,0,2,0,0,0,0,1,0.25,0.25,1,4,0.24318273999994963,-0.008431489449723828,-0.7564121033431003,-1.125857665136469,-0.04267589388696655,-0.7990879972300668,0.17666210670314636,-0.6224258905269204,-0.04697675142999111
David Whitaker,Hard Knocks,0.25,8,4,2,1,0,0,0,0,0,1,0,0,0,0,1,0.25,0.25,1,4,0.24318273999994963,-0.008431489449723828,-0.7564121033431003,-1.125857665136469,-0.04267589388696655,-0.7990879972300668,0.17666210670314636,-0.6224258905269204,-0.04697675142999111
Mike Kijanski,Breakers,0.222,4,9,1,2,0,0,0,0,2,0,0,0,0,0,2,0.364,0.222,2,11,0.3315607402005673,1.0982863952336017,-0.9586602929731834,53.32883521565495,-0.1707035755478662,-1.1293638685210496,0.4858207934336525,-0.6435430750873972,-0.04857054234565974
Leo Alcala,Guapos,0.0,1,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0.25,0.0,0,4,0.2127132777758304,-0.14902871279733154,-0.897009326690708,-19.899819554870326,-0.04267589388696655,-0.9396852205776746,0.17666210670314636,-0.7630231138745283,-0.05758813651771
Eduardo Malacara,Cardinals,0.0,1,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0.25,0.0,0,4,0.21214341772920386,-0.15165825511294906,-0.8996388690063255,-20.250942614383334,-0.04267589388696655,-0.9423147628932921,0.17666210670314636,-0.7656526561901458,-0.05778659766403352
Released Player GW,Mariners,0.0,1,3,0,0,0,0,0,0,0,4,1,0,0,0,0,0.25,0.0,0,4,0.21214341772920386,-0.15165825511294906,-0.8996388690063255,-20.250942614383334,-0.04267589388696655,-0.9423147628932921,0.17666210670314636,-0.7656526561901458,-0.05778659766403352
Justin McManus,Legends,0.143,4,7,1,1,0,0,0,1,2,3,1,0,0,1,1,0.364,0.143,1,11,0.3202737139202961,0.9550596295703759,-1.1018870586364093,46.374258870474236,-0.1707035755478662,-1.2725906341842754,0.4858207934336525,-0.786769840750623,-0.059380388579702174
Max Yourist,Cardinals,0.222,7,18,2,4,1,0,0,4,1,6,0,7,0,0,5,0.263,0.278,3,19,0.26983798131222164,0.5441862485375896,-3.0087216674559487,15.297946630369779,1.229296424452134,-1.7794252430038147,0.8391450068399452,-0.9402802361638695,-0.0709663778468627
Harry Goldstein,Cardinals,0.222,4,9,1,2,0,0,0,0,1,5,0,1,0,0,2,0.3,0.222,2,10,0.2796315031102919,0.3993910281943061,-1.470560506539135,21.33229025123306,0.07197231833910037,-1.3985881882000346,0.4416552667578659,-0.9569329214421687,-0.0722232167233726
Yuyi Contreras,Hard Knocks,0.187,6,16,5,3,0,0,0,0,3,3,2,0,0,0,3,0.381,0.187,3,21,0.3413285502449043,2.3333578424339025,-1.593540380506324,59.34733636837241,-0.3414071510957324,-1.9349475316020563,0.9274760601915184,-1.007471471410538,-0.07603754536173696
